"","V1","V2","V3","V4","V5","V6"
"1",0,2,100,"-2.5,0,2.5","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"2",0,2,100,"-2.5,0,2.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"3",0,2,100,"-2.5,0,2.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"4",0,2,100,"-2.5,0,2.5","0.25,0.5,0.25","1,1,1"
"5",0,2,100,"-2.5,0,2.5","0.25,0.5,0.25","0.6,1.2,0.6"
"6",0,2,100,"-2.5,0,2.5","0.25,0.5,0.25","0.6,0.6,1.2"
"7",0.0639999999999999,2,100,"-2,0,2","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"8",0,2,100,"-2,0,2","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"9",0,2,100,"-2,0,2","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"10",0.029,2,100,"-2,0,2","0.25,0.5,0.25","1,1,1"
"11",0,2,100,"-2,0,2","0.25,0.5,0.25","0.6,1.2,0.6"
"12",0,2,100,"-2,0,2","0.25,0.5,0.25","0.6,0.6,1.2"
"13",0.00700000000000001,2,100,"-2,0,4","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"14",0,2,100,"-2,0,4","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"15",0,2,100,"-2,0,4","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"16",0.00449999999999995,2,100,"-2,0,4","0.25,0.5,0.25","1,1,1"
"17",0,2,100,"-2,0,4","0.25,0.5,0.25","0.6,1.2,0.6"
"18",0,2,100,"-2,0,4","0.25,0.5,0.25","0.6,0.6,1.2"
"19",0.7485,2,100,"-1,0,3","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"20",0.0570000000000001,2,100,"-1,0,3","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"21",0.07,2,100,"-1,0,3","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"22",0.746,2,100,"-1,0,3","0.25,0.5,0.25","1,1,1"
"23",0.2055,2,100,"-1,0,3","0.25,0.5,0.25","0.6,1.2,0.6"
"24",0.0735,2,100,"-1,0,3","0.25,0.5,0.25","0.6,0.6,1.2"
"25",0,10,100,"-2.5,0,2.5","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"26",0,10,100,"-2.5,0,2.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
