"nom.size","an","N","T","omega"
0.096,0.05,100,2,-6.08693848165939
0.062,0.1,100,2,-6.08693848165939
0.058,0.15,100,2,-6.08693848165939
0.054,0.2,100,2,-6.08693848165939
0.048,0.3,100,2,-6.08693848165939
0.046,0.4,100,2,-6.08693848165939
0.08,0.05,100,2,-5.15869636226449
0.07,0.1,100,2,-5.15869636226449
0.066,0.15,100,2,-5.15869636226449
0.06,0.2,100,2,-5.15869636226449
0.056,0.3,100,2,-5.15869636226449
0.05,0.4,100,2,-5.15869636226449
0.076,0.05,100,2,-5.94210804784106
0.07,0.1,100,2,-5.94210804784106
0.064,0.15,100,2,-5.94210804784106
0.052,0.2,100,2,-5.94210804784106
0.05,0.3,100,2,-5.94210804784106
0.044,0.4,100,2,-5.94210804784106
0.08,0.05,100,2,-5.01195030865049
0.07,0.1,100,2,-5.01195030865049
0.062,0.15,100,2,-5.01195030865049
0.05,0.2,100,2,-5.01195030865049
0.048,0.3,100,2,-5.01195030865049
0.046,0.4,100,2,-5.01195030865049
0.082,0.05,100,2,-7.41947324248453
0.07,0.1,100,2,-7.41947324248453
0.06,0.15,100,2,-7.41947324248453
0.054,0.2,100,2,-7.41947324248453
0.052,0.3,100,2,-7.41947324248453
0.046,0.4,100,2,-7.41947324248453
0.084,0.05,100,2,-6.25852880244481
0.072,0.1,100,2,-6.25852880244481
0.068,0.15,100,2,-6.25852880244481
0.064,0.2,100,2,-6.25852880244481
0.058,0.3,100,2,-6.25852880244481
0.054,0.4,100,2,-6.25852880244481
0.076,0.05,100,2,-7.28026091176678
0.064,0.1,100,2,-7.28026091176678
0.058,0.15,100,2,-7.28026091176678
0.052,0.2,100,2,-7.28026091176678
0.052,0.3,100,2,-7.28026091176678
0.042,0.4,100,2,-7.28026091176678
0.084,0.05,100,2,-6.1187484059302
0.07,0.1,100,2,-6.1187484059302
0.066,0.15,100,2,-6.1187484059302
0.054,0.2,100,2,-6.1187484059302
0.052,0.3,100,2,-6.1187484059302
0.052,0.4,100,2,-6.1187484059302
0.078,0.05,100,2,-8.75200800330968
0.062,0.1,100,2,-8.75200800330968
0.054,0.15,100,2,-8.75200800330968
0.05,0.2,100,2,-8.75200800330968
0.044,0.3,100,2,-8.75200800330968
0.04,0.4,100,2,-8.75200800330968
0.086,0.05,100,2,-7.35836124262512
0.074,0.1,100,2,-7.35836124262512
0.062,0.15,100,2,-7.35836124262512
0.058,0.2,100,2,-7.35836124262512
0.046,0.3,100,2,-7.35836124262512
0.04,0.4,100,2,-7.35836124262512
0.072,0.05,100,2,-8.6184137756925
0.062,0.1,100,2,-8.6184137756925
0.054,0.15,100,2,-8.6184137756925
0.052,0.2,100,2,-8.6184137756925
0.05,0.3,100,2,-8.6184137756925
0.046,0.4,100,2,-8.6184137756925
0.088,0.05,100,2,-7.2255465032099
0.068,0.1,100,2,-7.2255465032099
0.062,0.15,100,2,-7.2255465032099
0.056,0.2,100,2,-7.2255465032099
0.052,0.3,100,2,-7.2255465032099
0.05,0.4,100,2,-7.2255465032099
0.082,0.05,100,2,-8.95534483469462
0.068,0.1,100,2,-8.95534483469462
0.064,0.15,100,2,-8.95534483469462
0.056,0.2,100,2,-8.95534483469462
0.052,0.3,100,2,-8.95534483469462
0.044,0.4,100,2,-8.95534483469462
0.088,0.05,100,2,-7.50641500010771
0.076,0.1,100,2,-7.50641500010771
0.072,0.15,100,2,-7.50641500010771
0.064,0.2,100,2,-7.50641500010771
0.058,0.3,100,2,-7.50641500010771
0.054,0.4,100,2,-7.50641500010771
0.082,0.05,100,2,-8.81868454156321
0.07,0.1,100,2,-8.81868454156321
0.06,0.15,100,2,-8.81868454156321
0.06,0.2,100,2,-8.81868454156321
0.054,0.3,100,2,-8.81868454156321
0.052,0.4,100,2,-8.81868454156321
0.08,0.05,100,2,-7.36992883409016
0.068,0.1,100,2,-7.36992883409016
0.064,0.15,100,2,-7.36992883409016
0.056,0.2,100,2,-7.36992883409016
0.054,0.3,100,2,-7.36992883409016
0.054,0.4,100,2,-7.36992883409016
0.076,0.05,100,2,-10.2878795955198
0.064,0.1,100,2,-10.2878795955198
